address,room,floor,page,coordinates
70,unknown,1FL,7,"[2659.46, 2004.66, 2682.88, 2026.67]"
71,FL,1FL,7,"[2392.37, 353.18, 2415.79, 375.19]"
72,unknown,1FL,7,"[2657.53, 1925.14, 2680.95, 1947.15]"
73,FL,1FL,7,"[2390.41, 288.161, 2413.83, 310.171]"
74,Unknown,1FL,7,"[2644.86, 1818.94, 2668.27, 1840.95]"
75,FL,1FL,7,"[2390.41, 227.07, 2413.83, 249.08]"
76,unknown,1FL,7,"[2633.44, 1723.15, 2656.85, 1745.16]"
77,FL,1FL,7,"[2391.72, 147.652, 2415.14, 169.662]"
78,unknown,1FL,7,"[2619.58, 1617.43, 2643, 1639.44]"
79,FL,1FL,7,"[2383.87, 72.1604, 2407.28, 94.1704]"
80,unknown,1FL,7,"[2796.2, 1766.11, 2819.62, 1788.12]"
34,CM,1FL,7,"[1714.76, 674.881, 1738.18, 696.891]"
35,13FL,1FL,7,"[2241.51, 1089.21, 2264.93, 1111.22]"
36,13FL,1FL,7,"[2312.69, 1080.38, 2336.11, 1102.39]"
37,14FL,1FL,7,"[2233.17, 997.902, 2256.58, 1019.91]"
38,14FL,1FL,7,"[2297.48, 989.065, 2320.89, 1011.08]"
39,15FL,1FL,7,"[2231.69, 917.392, 2255.11, 939.402]"
40,15FL,1FL,7,"[2311.22, 917.392, 2334.64, 939.402]"
41,15FL,1FL,7,"[2229.24, 834.919, 2252.66, 856.929]"
42,16FL,1FL,7,"[2297.48, 831.973, 2320.89, 853.983]"
43,17FL,1FL,7,"[2233.17, 768.154, 2256.58, 790.164]"
44,17FL,1FL,7,"[2300.42, 764.227, 2323.84, 786.237]"
45,18FL,1FL,7,"[2228.75, 693.535, 2252.16, 715.545]"
46,18FL,1FL,7,"[2294.04, 689.608, 2317.46, 711.618]"
47,19FL,1FL,7,"[2223.35, 619.898, 2246.76, 641.908]"
48,19FL,1FL,7,"[2297.48, 614.989, 2320.89, 636.999]"
49,20FL,1FL,7,"[2228.26, 562.952, 2251.67, 584.962]"
50,20FL,1FL,7,"[2298.46, 558.043, 2321.87, 580.053]"
51,21FL,1FL,7,"[2223.84, 493.243, 2247.26, 515.253]"
52,21FL,1FL,7,"[2295.02, 488.333, 2318.44, 510.344]"
53,22FL,1FL,7,"[2224.82, 429.424, 2248.24, 451.434]"
54,22FL,1FL,7,"[2292.08, 423.533, 2315.49, 445.543]"
55,23FL,1FL,7,"[2221.88, 367.569, 2245.29, 389.579]"
56,23FL,1FL,7,"[2293.06, 365.605, 2316.47, 387.615]"
57,24FL,1FL,7,"[2227.77, 291.968, 2251.18, 313.978]"
58,24FL,1FL,7,"[2296, 286.077, 2319.42, 308.087]"
59,25FL,1FL,7,"[2221.88, 222.258, 2245.29, 244.268]"
60,25FL,1FL,7,"[2303.37, 225.204, 2326.78, 247.214]"
61,26FL,1FL,7,"[2219.91, 150.585, 2243.33, 172.595]"
62,26FL,1FL,7,"[2300.42, 152.549, 2323.84, 174.559]"
63,27FL,1FL,7,"[2222.86, 87.7478, 2246.27, 109.758]"
